Probe	Chr	StartPos	STRName	Strand
89	1	81329829	trf28889_trf28890	M
90	1	81330092	trf28889_trf28890	P
91	1	82157485	trf29127	M
92	1	82157743	trf29127	P
93	1	85316681	trf29918	M
94	1	85316956	trf29918	P
95	1	86462589	trf30242	M
96	1	86462849	trf30242	P
97	1	86465689	trf30244	M
98	1	86465952	trf30244	P
99	1	89068316	trf30853	M
100	1	89068646	trf30853	P
101	1	93286721	trf32061	M
102	1	93287114	trf32061	P
103	1	95745534	trf32670	M
104	1	95745794	trf32670	P
105	1	97212303	trf33018_trf33019	M
106	1	97212570	trf33018_trf33019	P
107	1	100292400	trf33831	M
108	1	100292703	trf33831	P
109	1	101987022	trf34298	M
110	1	101987283	trf34298	P
111	1	104533122	trf34979	M
112	1	104533407	trf34979	P
113	1	106072247	trf35456	M
114	1	106072511	trf35456	P
115	1	106076075	trf35458	M
116	1	106076295	trf35458	P
117	1	106963639	trf35734_D1S1627	M
118	1	106963901	trf35734_D1S1627	P
119	1	108243811	trf36078	M
120	1	108244074	trf36078	P
121	1	108584771	trf36143	M
122	1	108585023	trf36143	P
123	1	109764378	trf36548	M
124	1	109764799	trf36548	P
125	1	112049396	trf37077_trf37078_trf37080	M
126	1	112049460	trf37077_trf37078_trf37080	M
127	1	112049461	trf37077_trf37078_trf37080	M
128	1	112049690	trf37077_trf37078_trf37080	P
129	1	112049719	trf37077_trf37078_trf37080	P
130	1	112049722	trf37077_trf37078_trf37080	P
131	1	113741843	trf37651_trf37652	M
132	1	113742091	trf37651_trf37652	P
133	1	115575262	trf38149_trf38150	M
134	1	115575517	trf38149_trf38150	P
135	1	117438637	trf38651	M
136	1	117438875	trf38651	P
137	1	120053196	trf39373_BAT40	M
138	1	120053454	trf39373_BAT40	P
139	1	145056555	trf40316	M
140	1	145056812	trf40316	P
141	1	145640465	trf40523	M
142	1	145640721	trf40523	P
143	1	146956413	trf40879	M
144	1	146956682	trf40879	P
145	1	151318655	RFX5	M
146	1	151318915	RFX5	P
147	1	151725218	trf42648_trf42649	M
148	1	151725478	trf42648_trf42649	P
149	1	152695269	trf43023	M
150	1	152695521	trf43023	P
151	1	156836586	NTRK1	M
152	1	156836844	NTRK1	P
153	1	158313676	trf45059	M
154	1	158313937	trf45059	P
155	1	159032381	AIM2	M
156	1	159032640	AIM2	P
157	1	159251426	trf45268	M
158	1	159251721	trf45268	P
159	1	159461631	trf45309_trf45310	M
160	1	159461636	trf45309_trf45310	M
161	1	159461891	trf45309_trf45310	P
162	1	159461896	trf45309_trf45310	P
163	1	161941296	trf46147	M
164	1	161941550	trf46147	P
165	1	162124866	trf46190_trf46191	M
166	1	162125172	trf46190_trf46191	P
167	1	162893358	trf46439	M
168	1	162893612	trf46439	P
169	1	163329314	trf46531	M
170	1	163329662	trf46531	P
171	1	163434305	trf46557	M
172	1	163434565	trf46557	P
173	1	163559682	trf46588_D1S1677	M
174	1	163559943	trf46588_D1S1677	P
175	1	165498970	trf47057	M
176	1	165499326	trf47057	P
177	1	165643355	trf47113	M
178	1	165643635	trf47113	P
179	1	167525991	trf47570	M
180	1	167526289	trf47570	P
181	1	169227478	trf48120	M
182	1	169227727	trf48120	P
183	1	169756887	trf48275	M
184	1	169757147	trf48275	P
185	1	170865183	trf48524	M
186	1	170865437	trf48524	P
187	1	173277230	trf49168	M
188	1	173277492	trf49168	P
189	1	173328479	trf49180	M
190	1	173328739	trf49180	P
191	1	174030855	trf49394	M
192	1	174031180	trf49394	P
193	1	175920435	trf49993	M
194	1	175920684	trf49993	P
195	1	177541943	trf50454	M
196	1	177542207	trf50454	P
197	1	177992777	trf50548_trf50549_trf50550	M
198	1	177993015	trf50548_trf50549_trf50550	P
199	1	179344514	trf50942	M
200	1	179344807	trf50942	P
201	1	180219361	trf51191	M
202	1	180219621	trf51191	P
203	1	180559794	trf51256	M
204	1	180560062	trf51256	P
205	1	180564339	trf51257	M
206	1	180564603	trf51257	P
207	1	182227191	trf51654_trf51655	M
208	1	182227542	trf51654_trf51655	P
209	1	182269632	trf51689	M
210	1	182269893	trf51689	P
211	1	183100416	trf51938	M
212	1	183100675	trf51938	P
213	1	185656498	trf52578	M
214	1	185656769	trf52578	P
215	1	187932082	trf53201_trf53202_trf53203	M
216	1	187932341	trf53201_trf53202_trf53203	P
217	1	188252817	trf53326	M
218	1	188253071	trf53326	P
219	1	188620200	trf53436	M
220	1	188620459	trf53436	P
221	1	188700566	trf53466	M
222	1	188700838	trf53466	P
223	1	190043897	trf53927_trf53928_trf53929_trf53930	M
224	1	190044042	trf53927_trf53928_trf53929_trf53930	M
225	1	190044163	trf53927_trf53928_trf53929_trf53930	P
226	1	190044322	trf53927_trf53928_trf53929_trf53930	P
227	1	190416562	trf54039	M
228	1	190416811	trf54039	P
229	1	190677696	trf54105	M
230	1	190677956	trf54105	P
231	1	193299071	trf54908	M
232	1	193299420	trf54908	P
233	1	193873577	trf55062_trf55063	M
234	1	193873873	trf55062_trf55063	P
235	1	195810257	trf55706_trf55708_trf55709_trf55710	M
236	1	195810258	trf55706_trf55708_trf55709_trf55710	M
237	1	195810544	trf55706_trf55708_trf55709_trf55710	P
238	1	196771369	trf55994	M
239	1	196771782	trf55994	P
240	1	197007653	F13B	M
241	1	197007931	F13B	P
242	1	198221568	trf56470	M
243	1	198221923	trf56470	P
244	1	200083304	trf57025_trf57026	M
245	1	200083544	trf57025_trf57026	P
246	1	200267530	trf57085	M
247	1	200267814	trf57085	P
248	1	201463817	trf57476	M
249	1	201464088	trf57476	P
250	1	204518169	MDM4	M
251	1	204518420	MDM4	P
252	1	208703854	trf59614	M
253	1	208704120	trf59614	P
254	1	209632993	trf59876	M
255	1	209633247	trf59876	P
256	1	210907154	trf60161	M
257	1	210907416	trf60161	P
258	1	210969146	trf60174	M
259	1	210969516	trf60174	P
260	1	212697395	trf60721	M
261	1	212697435	trf60721	M
262	1	212697651	trf60721	P
263	1	212697708	trf60721	P
264	1	214969428	trf61359_trf61360	M
265	1	214969629	trf61359_trf61360	M
266	1	214969913	trf61359_trf61360	P
267	1	214982734	trf61364	M
268	1	214982994	trf61364	P
269	1	215403778	trf61497	M
270	1	215404037	trf61497	P
271	1	218217174	trf62210	M
272	1	218217440	trf62210	P
273	1	218894079	trf62402_trf62403	M
274	1	218894440	trf62402_trf62403	P
275	1	219338875	trf62512	M
276	1	219338940	trf62512	M
277	1	219339124	trf62512	P
278	1	219339215	trf62512	P
279	1	219613210	trf62572_trf62573	M
280	1	219613468	trf62572_trf62573	P
281	1	221048443	trf62948	M
282	1	221048699	trf62948	P
283	1	227166566	trf64847	M
284	1	227166818	trf64847	P
285	1	227485558	trf64955	M
286	1	227485818	trf64955	P
287	1	228638964	trf65467	M
288	1	228639291	trf65467	P
289	1	233388358	PCNXL2	M
290	1	233388630	PCNXL2	P
291	1	234409238	trf67498	M
292	1	234409497	trf67498	P
293	1	235083130	trf67748	M
294	1	235083390	trf67748	P
295	1	235187538	trf67788	M
296	1	235187821	trf67788	P
297	1	235734088	trf68015	M
298	1	235734097	trf68015	M
299	1	235734391	trf68015	P
300	1	235799759	trf68056	M
301	1	235800019	trf68056	P
302	1	236658672	trf68409	M
303	1	236658936	trf68409	P
304	1	236697431	trf68430	M
305	1	236697692	trf68430	P
306	1	237128960	trf68571	M
307	1	237129219	trf68571	P
308	1	237720013	trf68806	M
309	1	237720268	trf68806	P
310	1	237959074	trf68877_trf68878_trf68879	M
311	1	237959079	trf68877_trf68878_trf68879	M
312	1	237959353	trf68877_trf68878_trf68879	P
313	1	238110174	trf68917	M
314	1	238110417	trf68917	P
315	1	238421541	trf69015	M
316	1	238421794	trf69015	P
317	1	238584438	trf69088_trf69089	M
318	1	238584669	trf69088_trf69089	P
319	1	238584675	trf69088_trf69089	P
320	1	240607978	trf69728	M
321	1	240608240	trf69728	P
322	1	240695859	trf69750	M
323	1	240696108	trf69750	P
324	1	240916340	trf69854	M
325	1	240916612	trf69854	P
326	1	241284859	trf70003	M
327	1	241285118	trf70003	P
328	1	241534946	trf70106	M
329	1	241535206	trf70106	P
330	1	242130127	trf70303	M
331	1	242130412	trf70303	P
332	1	242405087	trf70397_trf70398	M
333	1	242405128	trf70397_trf70398	M
334	1	242405363	trf70397_trf70398	P
335	1	242405425	trf70397_trf70398	P
336	1	242657233	trf70474	M
337	1	242657315	trf70474	M
338	1	242657493	trf70474	P
339	1	242657582	trf70474	P
340	1	244489322	trf71046	M
341	1	244489580	trf71046	P
342	1	245836339	trf71625	M
343	1	245836754	trf71625	P
344	1	246644837	trf71888	M
345	1	246645101	trf71888	P
346	1	247137380	trf72072	M
347	1	247137639	trf72072	P
348	1	247623982	trf72280	M
349	1	247624302	trf72280	P
350	1	247864180	trf72358	M
351	1	247864523	trf72358	P
352	1	248515492	trf72526	M
353	1	248515759	trf72526	P
354	2	174275	trf404900	M
355	2	174672	trf404900	P
356	2	1288594	trf405581	M
357	2	1288854	trf405581	P
358	2	1493333	trf405687_TPOX	M
359	2	1493591	trf405687_TPOX	P
360	2	2238973	trf406236	M
361	2	2239214	trf406236	P
362	2	2477667	trf406325_trf406326	M
363	2	2477969	trf406325_trf406326	P
364	2	3272909	trf406839	M
365	2	3273357	trf406839	P
366	2	3820777	trf407135	M
367	2	3821037	trf407135	P
368	2	5185939	trf407584	M
369	2	5186168	trf407584	P
370	2	6439566	trf408083	M
371	2	6439830	trf408083	P
372	2	6953619	trf408294	M
373	2	6953942	trf408294	P
374	2	9278391	trf409020	M
375	2	9278648	trf409020	P
376	2	9884836	trf409205	M
377	2	9885090	trf409205	P
378	2	10929414	trf409732	M
379	2	10929668	trf409732	P
380	2	11022407	trf409756	M
381	2	11022673	trf409756	P
382	2	11103292	trf409794	M
383	2	11103551	trf409794	P
384	2	11904041	trf410078	M
385	2	11904295	trf410078	P
386	2	13033991	trf410399	M
387	2	13034256	trf410399	P
388	2	14496892	trf410890	M
389	2	14497042	trf410890	M
390	2	14497153	trf410890	P
391	2	14497309	trf410890	P
392	2	15024007	trf411018	M
393	2	15024273	trf411018	P
394	2	16146312	trf411358	M
395	2	16146566	trf411358	P
396	2	16800566	trf411561	M
397	2	16800826	trf411561	P
398	2	17055918	trf411612	M
399	2	17056191	trf411612	P
400	2	19488791	trf412213	M
401	2	19489043	trf412213	P
402	2	19934647	trf412332	M
403	2	19934902	trf412332	P
404	2	23343439	trf413246	M
405	2	23343701	trf413246	P
406	2	23587937	trf413299	M
407	2	23588242	trf413299	P
408	2	23820113	trf413368_trf413369	M
409	2	23820437	trf413368_trf413369	P
410	2	23828945	trf413373	M
411	2	23829235	trf413373	P
412	2	25011372	trf413743	M
413	2	25011636	trf413743	P
414	2	27248399	MAPRE3	M
415	2	27248632	MAPRE3	P
416	2	27749796	trf414767	M
417	2	27750056	trf414767	P
418	2	28024718	trf414892	M
419	2	28025000	trf414892	P
420	2	28688834	trf415062_trf415063	M
421	2	28689192	trf415062_trf415063	P
422	2	32968179	trf416414	M
423	2	32968440	trf416414	P
424	2	34454396	trf416876	M
425	2	34454657	trf416876	P
426	2	35934619	trf417301	M
427	2	35934880	trf417301	P
428	2	41913499	trf419026	M
429	2	41913763	trf419026	P
430	2	42734874	trf419301	M
431	2	42735137	trf419301	P
432	2	42951217	trf419435	M
433	2	42951374	trf419435	M
434	2	42951486	trf419435	P
435	2	42951640	trf419435	P
436	2	45270538	trf420202	M
437	2	45270795	trf420202	P
438	2	45390945	trf420239	M
439	2	45391225	trf420239	P
440	2	47015115	trf420652	M
441	2	47015418	trf420652	P
442	2	47639430	MSH2	M
443	2	47639690	MSH2	P
444	2	47641403	trf420870_BAT26	M
445	2	47641679	trf420870_BAT26	P
446	2	48025724	MSH6_1	M
447	2	48025999	MSH6_1	P
448	2	48030500	MSH6_2_MSH6_3	M
449	2	48030760	MSH6_2_MSH6_3	P
450	2	51288441	trf421953_D2S123	M
451	2	51288699	trf421953_D2S123	P
452	2	51572505	trf422030	M
453	2	51572771	trf422030	P
454	2	51795706	trf422114	M
455	2	51795968	trf422114	P
456	2	52286401	trf422251	M
457	2	52286674	trf422251	P
458	2	57331768	trf423552	M
459	2	57332026	trf423552	P
460	2	61608116	trf424750_trf424751	M
461	2	61608425	trf424750_trf424751	P
462	2	62059176	trf424961	M
463	2	62059483	trf424961	P
464	2	64791578	trf425756	M
465	2	64791839	trf425756	P
466	2	64802767	trf425758_trf425759	M
467	2	64803026	trf425758_trf425759	P
468	2	65757236	trf426057	M
469	2	65757472	trf426057	P
470	2	65938545	trf426126	M
471	2	65938803	trf426126	P
472	2	67760329	trf426565	M
473	2	67760594	trf426565	P
474	2	68071000	trf426653	M
475	2	68071004	trf426653	M
476	2	68071255	trf426653	P
477	2	68071275	trf426653	P
478	2	68121078	trf426672	M
479	2	68121337	trf426672	P
480	2	68599650	trf426830_trf426831_trf426832	M
481	2	68599912	trf426830_trf426831_trf426832	P
482	2	69410472	trf427063	M
483	2	69410845	trf427063	P
484	2	70867699	trf427551	M
485	2	70868017	trf427551	P
486	2	70914549	trf427567	M
487	2	70914809	trf427567	P
488	2	71053402	trf427596	M
489	2	71053714	trf427596	P
490	2	75042814	trf428834	M
491	2	75043082	trf428834	P
492	2	76444575	trf429186	M
493	2	76444849	trf429186	P
494	2	76921107	trf429300	M
495	2	76921380	trf429300	P
496	2	76921583	trf429301	M
497	2	76921844	trf429301	P
498	2	77169627	trf429369	M
499	2	77169904	trf429369	P
500	2	77276160	trf429396	M
501	2	77276448	trf429396	P
502	2	77548612	trf429498	M
503	2	77548874	trf429498	P
504	2	80204279	trf430260	M
505	2	80204542	trf430260	P
506	2	82049385	trf430743	M
507	2	82049650	trf430743	P
508	2	83728220	trf431349	M
509	2	83728503	trf431349	P
510	2	85506350	trf431856	M
511	2	85506610	trf431856	P
512	2	86198274	trf432074	M
513	2	86198538	trf432074	P
514	2	99537339	trf435691	M
515	2	99537601	trf435691	P
516	2	100288549	trf435913	M
517	2	100288589	trf435913	M
518	2	100288811	trf435913	P
519	2	100288846	trf435913	P
520	2	101337339	trf436177	M
521	2	101337600	trf436177	P
522	2	101595841	trf436216	M
523	2	101596120	trf436216	P
524	2	101599277	trf436218	M
525	2	101599533	trf436218	P
526	2	102294388	trf436462_trf436465	M
527	2	102294417	trf436462_trf436465	M
528	2	102294645	trf436462_trf436465	P
529	2	102294796	trf436462_trf436465	P
530	2	102588063	trf436547	M
531	2	102588326	trf436547	P
532	2	106382081	trf437639	M
533	2	106382338	trf437639	P
534	2	107501273	trf438004	M
535	2	107501534	trf438004	P
536	2	108568140	trf438349	M
537	2	108568397	trf438349	P
538	2	108628488	trf438368_trf438369	M
539	2	108628744	trf438368_trf438369	P
540	2	109064376	trf438493	M
541	2	109064635	trf438493	P
542	2	109595740	trf438683	M
543	2	109596000	trf438683	P
544	2	110016786	trf438794	M
545	2	110017048	trf438794	P
546	2	110252955	trf438828	M
547	2	110253215	trf438828	P
548	2	112424261	trf439401	M
549	2	112424522	trf439401	P
550	2	113575080	trf439794	M
551	2	113575344	trf439794	P
552	2	114014042	trf439922	M
553	2	114014302	trf439922	P
554	2	114500107	SLC35F5	M
555	2	114500366	SLC35F5	P
556	2	115421106	trf440371	M
557	2	115421369	trf440371	P
558	2	117233580	trf440876	M
559	2	117233840	trf440876	P
560	2	117270647	trf440892_trf440893	M
561	2	117270911	trf440892_trf440893	P
562	2	119646131	trf441579_trf441580	M
563	2	119646405	trf441579_trf441580	P
564	2	119646408	trf441579_trf441580	P
565	2	121896200	trf442276	M
566	2	121896240	trf442276	M
567	2	121896460	trf442276	P
568	2	121896513	trf442276	P
569	2	123257776	trf442714	M
570	2	123258067	trf442714	P
571	2	126390394	trf443704	M
572	2	126390713	trf443704	P
573	2	126404159	trf443706	M
574	2	126404258	trf443706	M
575	2	126404474	trf443706	P
576	2	126404533	trf443706	P
577	2	126648517	trf443785	M
578	2	126648789	trf443785	P
579	2	127576859	trf444045	M
580	2	127577120	trf444045	P
581	2	128508151	trf444353_trf444357_trf444358	M
582	2	128508436	trf444353_trf444357_trf444358	P
583	2	132795772	trf445889_trf445891	M
584	2	132796074	trf445889_trf445891	P
585	2	137968738	trf447430	M
586	2	137968991	trf447430	P
587	2	138477703	trf447591	M
588	2	138478004	trf447591	P
589	2	140506266	trf448130	M
590	2	140506527	trf448130	P
591	2	140705348	trf448180	M
592	2	140705825	trf448180	P
593	2	140837907	trf448232	M
594	2	140838166	trf448232	P
595	2	141087694	trf448308	M
596	2	141087923	trf448308	P
597	2	141768478	trf448520	M
598	2	141768714	trf448520	P
599	2	142188567	trf448640	M
600	2	142188829	trf448640	P
601	2	142906532	trf448822	M
602	2	142906793	trf448822	P
603	2	144174306	trf449194	M
604	2	144174564	trf449194	P
605	2	145815018	trf449635	M
606	2	145815279	trf449635	P
607	2	148365573	trf450352	M
608	2	148365845	trf450352	P
609	2	150760819	trf450931	M
610	2	150761075	trf450931	P
611	2	153184520	trf451617	M
612	2	153184600	trf451617	M
613	2	153184805	trf451617	P
614	2	153184854	trf451617	P
615	2	154178366	trf451856	M
616	2	154178623	trf451856	P
617	2	154717919	trf451968_trf451969	M
618	2	154718320	trf451968_trf451969	P
619	2	154741138	trf451978	M
620	2	154741613	trf451978	P
621	2	157606313	trf452768	M
622	2	157606673	trf452768	P
623	2	159150310	trf453147_trf453148	M
624	2	159150338	trf453147_trf453148	M
625	2	159150570	trf453147_trf453148	P
626	2	159150612	trf453147_trf453148	P
627	2	160704432	trf453524	M
628	2	160704712	trf453524	P
629	2	160872854	trf453584_trf453585_trf453586	M
630	2	160873113	trf453584_trf453585_trf453586	P
631	2	162971044	trf454055	M
632	2	162971303	trf454055	P
633	2	163982657	trf454299	M
634	2	163982921	trf454299	P
635	2	165365080	GRB14	M
636	2	165365353	GRB14	P
637	2	165581450	trf454675	M
638	2	165581712	trf454675	P
639	2	165876678	trf454770_trf454771_trf454772	M
640	2	165876942	trf454770_trf454771_trf454772	P
641	2	166377100	trf454924	M
642	2	166377388	trf454924	P
643	2	166907028	trf455064	M
644	2	166907297	trf455064	P
645	2	167001464	trf455087	M
646	2	167001730	trf455087	P
647	2	167167755	trf455155	M
648	2	167168012	trf455155	P
649	2	167399821	trf455231	M
650	2	167400131	trf455231	P
651	2	169026076	trf455597	M
652	2	169026335	trf455597	P
653	2	169645341	D2S1776	M
654	2	169645591	D2S1776	P
655	2	172907649	trf456822_trf456823	M
656	2	172907661	trf456822_trf456823	M
657	2	172907946	trf456822_trf456823	P
658	2	173371408	trf456968	M
659	2	173371675	trf456968	P
660	2	176848589	trf457931	M
661	2	176848852	trf457931	P
662	2	178443622	trf458331	M
663	2	178443882	trf458331	P
664	2	183500319	trf459557	M
665	2	183500576	trf459557	P
666	2	186030737	trf460217	M
667	2	186031010	trf460217	P
668	2	187040929	trf460538	M
669	2	187041188	trf460538	P
670	2	187513558	trf460662	M
671	2	187513817	trf460662	P
672	2	187532870	trf460668	M
673	2	187533142	trf460668	P
674	2	191218932	trf461625	M
675	2	191219195	trf461625	P
676	2	192579083	trf462014	M
677	2	192579344	trf462014	P
678	2	192620949	trf462037	M
679	2	192621230	trf462037	P
680	2	194259286	trf462514	M
681	2	194259602	trf462514	P
682	2	198370122	trf463727	M
683	2	198370420	trf463727	P
684	2	202254951	trf464835	M
685	2	202255372	trf464835	P
686	2	202513556	trf464905_trf464906	M
687	2	202513910	trf464905_trf464906	P
688	2	203765421	trf465426	M
689	2	203765683	trf465426	P
690	2	203903788	trf465480	M
691	2	203904127	trf465480	P
692	2	207539783	trf466619	M
693	2	207540079	trf466619	P
694	2	208911166	trf466970	M
695	2	208911549	trf466970	P
696	2	209501335	trf467156	M
697	2	209501602	trf467156	P
698	2	211367013	trf467612	M
699	2	211367288	trf467612	P
700	2	212867694	trf468028	M
701	2	212868026	trf468028	P
702	2	214906500	trf468578_trf468579_trf468580	M
703	2	214906548	trf468578_trf468579_trf468580	M
704	2	214906771	trf468578_trf468579_trf468580	P
705	2	214906778	trf468578_trf468579_trf468580	P
706	2	214906879	trf468578_trf468579_trf468580	P
707	2	215042552	trf468625	M
708	2	215042818	trf468625	P
709	2	218879468	D2S1338	M
710	2	218879731	D2S1338	P
711	2	220670025	trf470439	M
712	2	220670275	trf470439	P
713	2	220980604	trf470508	M
714	2	220980868	trf470508	P
715	2	221457968	trf470674	M
716	2	221458223	trf470674	P
717	2	221838311	trf470791	M
718	2	221838571	trf470791	P
719	2	221996667	trf470833_trf470834	M
720	2	221996719	trf470833_trf470834	M
721	2	221996942	trf470833_trf470834	P
722	2	221996993	trf470833_trf470834	P
723	2	222343320	trf470925	M
724	2	222343576	trf470925	P
725	2	223045982	trf471165	M
726	2	223046306	trf471165	P
727	2	225101245	trf471835	M
728	2	225101534	trf471835	P
729	2	225285909	trf471890	M
730	2	225286168	trf471890	P
731	2	226375340	trf472306	M
732	2	226375602	trf472306	P
733	2	228263648	trf472903_trf472904	M
734	2	228263977	trf472903_trf472904	P
735	2	228605658	trf473046	M
736	2	228606029	trf473046	P
737	2	229978011	trf473480_trf473481	M
738	2	229978271	trf473480_trf473481	P
739	2	230087419	trf473524	M
740	2	230087685	trf473524	P
741	2	230461514	trf473626	M
742	2	230461778	trf473626	P
743	2	231483560	trf473923_trf473924_trf473925	M
744	2	231483965	trf473923_trf473924_trf473925	P
745	2	232102308	trf474159	M
746	2	232102579	trf474159	P
747	2	232751004	trf474541	M
748	2	232751269	trf474541	P
749	2	235507234	trf475507_trf475509	M
750	2	235507472	trf475507_trf475509	P
751	2	236071530	trf475738	M
752	2	236071794	trf475738	P
753	2	236180822	trf475768	M
754	2	236181080	trf475768	P
755	2	236672499	trf475972	M
756	2	236672594	trf475972	M
757	2	236672760	trf475972	P
758	2	236672863	trf475972	P
759	2	236792484	trf476010	M
760	2	236792651	trf476010	M
761	2	236792746	trf476010	P
762	2	236792907	trf476010	P
763	2	237566975	trf476288_trf476289	M
764	2	237567238	trf476288_trf476289	P
765	2	240042137	trf477308_trf477309	M
766	2	240042388	trf477308_trf477309	P
767	2	240434927	trf477517	M
768	2	240435217	trf477517	P
769	2	242305391	trf478493	M
770	2	242305645	trf478493	P
771	2	242473081	trf478588	M
772	2	242473429	trf478588	P
773	3	1069341	trf530145	M
774	3	1069417	trf530145	M
775	3	1069601	trf530145	P
776	3	1069697	trf530145	P
777	3	1514256	trf530295	M
778	3	1514572	trf530295	P
779	3	1859165	trf530387	M
780	3	1859422	trf530387	P
781	3	2787632	trf530614	M
782	3	2787871	trf530614	P
783	3	2839834	trf530632	M
784	3	2840166	trf530632	P
785	3	2932161	trf530646	M
786	3	2932421	trf530646	P
787	3	3020342	trf530664	M
788	3	3020601	trf530664	P
789	3	3771067	trf530829	M
790	3	3771328	trf530829	P
791	3	3830985	trf530843_trf530844	M
792	3	3831245	trf530843_trf530844	P
793	3	4192949	trf530916	M
794	3	4192981	trf530916	M
795	3	4193275	trf530916	P
796	3	5056276	trf531157	M
797	3	5056538	trf531157	P
798	3	5700531	trf531367	M
799	3	5700832	trf531367	P
800	3	11493178	trf533085_trf533086	M
801	3	11493431	trf533085_trf533086	P
802	3	11668491	trf533134	M
803	3	11668758	trf533134	P
804	3	13195877	trf533650	M
805	3	13196137	trf533650	P
806	3	14014448	trf533957	M
807	3	14014540	trf533957	M
808	3	14014729	trf533957	P
809	3	14014768	trf533957	P
810	3	14645370	trf534146	M
811	3	14645629	trf534146	P
812	3	14726798	trf534158	M
813	3	14727046	trf534158	P
814	3	16001305	trf534553	M
815	3	16001612	trf534553	P
816	3	16244899	trf534609	M
817	3	16245157	trf534609	P
818	3	16725517	trf534731	M
819	3	16725780	trf534731	P
820	3	20148342	trf535619	M
821	3	20148622	trf535619	P
822	3	22718606	trf536258	M
823	3	22718916	trf536258	P
824	3	23198650	trf536390	M
825	3	23198910	trf536390	P
826	3	23978587	trf536592_trf536593	M
827	3	23978912	trf536592_trf536593	P
828	3	29969564	trf538029	M
829	3	29969830	trf538029	P
830	3	30075979	trf538058	M
831	3	30076298	trf538058	P
832	3	30870615	trf538248_trf538249	M
833	3	30870871	trf538248_trf538249	P
834	3	30904374	trf538252_trf538253	M
835	3	30904638	trf538252_trf538253	P
836	3	31094700	trf538292	M
837	3	31094959	trf538292	P
838	3	31168412	trf538301	M
839	3	31168674	trf538301	P
840	3	32037834	trf538545	M
841	3	32038110	trf538545	P
842	3	32102129	trf538569	M
843	3	32102507	trf538569	P
844	3	32340085	trf538634	M
845	3	32340458	trf538634	P
846	3	32824763	trf538818	M
847	3	32825008	trf538818	P
848	3	34271081	trf539287	M
849	3	34271355	trf539287	P
850	3	34712543	trf539417	M
851	3	34712807	trf539417	P
852	3	35265021	trf539568	M
853	3	35265274	trf539568	P
854	3	36142976	trf539763	M
855	3	36143231	trf539763	P
856	3	37058980	MLH1	M
857	3	37059239	MLH1	P
858	3	38621295	trf540436	M
859	3	38621562	trf540436	P
860	3	39479901	trf540645	M
861	3	39480238	trf540645	P
