Probe	Chr	StartPos	STRName	Strand	ProbeList	Match?
239	1	188993897	trf53570	P	plus	Match
240	1	195587926	trf55623	M	minus	Match
241	1	195588014	trf55623	M	minus	Match
242	1	195588185	trf55623	P	plus	Match
243	1	195588277	trf55623	P	plus	Match
244	1	197007653	F13B	M	minus	Match
245	1	197007931	F13B	P	plus	Match
246	1	202557851	trf57868	M	minus	Match
247	1	202558107	trf57868	P	plus	Match
248	1	204518169	MDM4	M	minus	Match
249	1	204518420	MDM4	P	plus	Match
250	1	216720446	trf61833	M	minus	Match
251	1	216720704	trf61833	P	plus	Match
252	1	230687088	trf66300	M	minus	Match
253	1	230687351	trf66300	P	plus	Match
254	1	231950502	trf66714	M	minus	Match
255	1	231950768	trf66714	P	plus	Match
256	1	233388358	PCNXL2	M	minus	Match
257	1	233388630	PCNXL2	P	plus	Match
258	1	240779879	trf69789	M	minus	Match
259	1	240780138	trf69789	P	plus	Match
260	1	244065742	trf70889	M	minus	Match
261	1	244065792	trf70889	M	minus	Match
262	1	244066000	trf70889	P	plus	Match
263	1	244066042	trf70889	P	plus	Match
264	1	248130208	trf72455_trf72454	M	minus	Match
265	1	248130473	trf72455_trf72454	P	plus	Match
266	2	1493333	trf405687_TPOX	M	minus	Match
267	2	1493591	trf405687_TPOX	P	plus	Match
268	2	3745131	trf407088	M	minus	Match
269	2	3745391	trf407088	P	plus	Match
270	2	7845508	trf408560	M	minus	Match
271	2	7845559	trf408560	M	minus	Match
272	2	7845767	trf408560	P	plus	Match
273	2	7845819	trf408560	P	plus	Match
274	2	8077904	trf408645	M	minus	Match
275	2	8078205	trf408645	P	plus	Match
276	2	8078249	trf408645	P	plus	Match
277	2	9940528	trf409228	M	minus	Match
278	2	9940558	trf409228	M	minus	Match
279	2	9940795	trf409228	P	plus	Match
280	2	9940818	trf409228	P	plus	Match
281	2	9989431	TAF1B	M	minus	Match
282	2	9989692	TAF1B	P	plus	Match
283	2	11606833	trf409982_trf409983	M	minus	Match
284	2	11607093	trf409982_trf409983	P	plus	Match
285	2	13525278	trf410567	M	minus	Match
286	2	13525510	trf410567	P	plus	Match
287	2	14822542	trf410970	M	minus	Match
288	2	14822815	trf410970	P	plus	Match
289	2	17491892	trf411720	M	minus	Match
290	2	17492150	trf411720	P	plus	Match
291	2	27248399	MAPRE3	M	minus	Match
292	2	27248632	MAPRE3	P	plus	Match
293	2	32079321	trf416045	M	minus	Match
294	2	32079583	trf416045	P	plus	Match
295	2	36260218	trf417416_trf417417	M	minus	Match
296	2	36260355	trf417416_trf417417	M	minus	Match
297	2	36260476	trf417416_trf417417	P	plus	Match
298	2	36260612	trf417416_trf417417	P	plus	Match
299	2	41224237	trf418865_trf418866	M	minus	Match
300	2	41224328	trf418865_trf418866	M	minus	Match
301	2	41224497	trf418865_trf418866	P	plus	Match
302	2	41224590	trf418865_trf418866	P	plus	Match
303	2	44136573	trf419848	M	minus	Match
304	2	44136837	trf419848	P	plus	Match
305	2	47123777	trf420687	M	minus	Match
306	2	47123817	trf420687	M	minus	Match
307	2	47124036	trf420687	P	plus	Match
308	2	47124082	trf420687	P	plus	Match
309	2	47639430	MSH2	M	minus	Match
310	2	47639690	MSH2	P	plus	Match
311	2	47641403	trf420870_BAT26	M	minus	Match
312	2	47641679	trf420870_BAT26	P	plus	Match
313	2	48025724	MSH6_1	M	minus	Match
314	2	48025999	MSH6_1	P	plus	Match
315	2	48030500	MSH6_2_MSH6_3	M	minus	Match
316	2	48030760	MSH6_2_MSH6_3	P	plus	Match
317	2	50833573	trf421837	M	minus	Match
318	2	50833833	trf421837	P	plus	Match
319	2	51288441	trf421953_D2S123	M	minus	Match
320	2	51288699	trf421953_D2S123	P	plus	Match
321	2	58834274	trf423965	M	minus	Match
322	2	58834558	trf423965	P	plus	Match
323	2	60478421	trf424361	M	minus	Match
324	2	60478530	trf424361	M	minus	Match
325	2	60478676	trf424361	P	plus	Match
326	2	60478791	trf424361	P	plus	Match
327	2	67050962	trf426383	M	minus	Match
328	2	67051060	trf426383	M	minus	Match
329	2	67051261	trf426383	P	plus	Match
330	2	67051313	trf426383	P	plus	Match
331	2	73139082	trf428242	M	minus	Match
332	2	73139169	trf428242	M	minus	Match
333	2	73139342	trf428242	P	plus	Match
334	2	73139431	trf428242	P	plus	Match
335	2	77206703	trf429380	M	minus	Match
336	2	77206962	trf429380	P	plus	Match
337	2	78516285	trf429835	M	minus	Match
338	2	78516546	trf429835	P	plus	Match
339	2	85075275	trf431677	M	minus	Match
340	2	85075544	trf431677	P	plus	Match
341	2	102571943	trf436540	M	minus	Match
342	2	102571981	trf436540	M	minus	Match
343	2	102572208	trf436540	P	plus	Match
344	2	102572281	trf436540	P	plus	Match
345	2	102626253	nc-IL1R2	M	minus	Match
346	2	102626513	nc-IL1R2	P	plus	Match
347	2	103956775	trf436919	M	minus	Match
348	2	103956927	trf436919	M	minus	Match
349	2	103957040	trf436919	P	plus	Match
350	2	103957191	trf436919	P	plus	Match
351	2	114500107	SLC35F5	M	minus	Match
352	2	114500366	SLC35F5	P	plus	Match
353	2	119774131	trf441618	M	minus	Match
354	2	119774246	trf441618	M	minus	Match
355	2	119774413	trf441618	P	plus	Match
356	2	119774507	trf441618	P	plus	Match
357	2	126186622	trf443649	M	minus	Match
358	2	126186897	trf443649	P	plus	Match
359	2	130263259	trf444975	M	minus	Match
360	2	130263378	trf444975	M	minus	Match
361	2	130263519	trf444975	P	plus	Match
362	2	130263637	trf444975	P	plus	Match
363	2	136456314	trf447026	M	minus	Match
364	2	136456473	trf447026	M	minus	Match
365	2	136456682	trf447026	P	plus	Match
366	2	136456752	trf447026	P	plus	Match
367	2	148209978	trf450313	M	minus	Match
368	2	148210060	trf450313	M	minus	Match
369	2	148210236	trf450313	P	plus	Match
370	2	148210315	trf450313	P	plus	Match
417	2	152141668	trf451304	M	minus	Match
418	2	152141823	trf451304	M	minus	Match
419	2	152141941	trf451304	P	plus	Match
420	2	152142124	trf451304	P	plus	Match
421	2	155944275	trf452312	M	minus	Match
422	2	155944412	trf452312	M	minus	Match
423	2	155944541	trf452312	P	plus	Match
424	2	155944680	trf452312	P	plus	Match
425	2	159558806	trf453211	M	minus	Match
426	2	159558844	trf453211	M	minus	Match
427	2	159559064	trf453211	P	plus	Match
428	2	159559108	trf453211	P	plus	Match
429	2	162464048	trf453934	M	minus	Match
430	2	162464297	trf453934	P	plus	Match
431	2	165365080	GRB14	M	minus	Match
432	2	165365353	GRB14	P	plus	Match
433	2	169645341	D2S1776	M	minus	Match
434	2	169645591	D2S1776	P	plus	Match
435	2	176173320	trf457774	M	minus	Match
436	2	176173359	trf457774	M	minus	Match
437	2	176173579	trf457774	P	plus	Match
438	2	176173618	trf457774	P	plus	Match
439	2	184992438	trf459906	M	minus	Match
440	2	184992700	trf459906	P	plus	Match
441	2	191990091	trf461843	M	minus	Match
442	2	191990347	trf461843	P	plus	Match
443	2	199703891	trf464132	M	minus	Match
444	2	199703967	trf464132	M	minus	Match
445	2	199704151	trf464132	P	plus	Match
446	2	199704241	trf464132	P	plus	Match
447	2	203427303	nc-BMPR2	M	minus	Match
448	2	203427574	nc-BMPR2	P	plus	Match
449	2	214579742	trf468476	M	minus	Match
450	2	214579887	trf468476	M	minus	Match
451	2	214580008	trf468476	P	plus	Match
452	2	214580142	trf468476	P	plus	Match
453	2	218576543	trf469741	M	minus	Match
454	2	218576803	trf469741	P	plus	Match
455	2	218879468	D2S1338	M	minus	Match
456	2	218879731	D2S1338	P	plus	Match
457	2	220493958	SLC4A3_1	M	minus	Match
458	2	220494202	SLC4A3_1	P	plus	Match
459	2	220502252	SLC4A3_2	M	minus	Match
460	2	220502501	SLC4A3_2	P	plus	Match
461	2	227029498	trf472538_trf472539_trf472540_trf472541	M	minus	Match
462	2	227029629	trf472538_trf472539_trf472540_trf472541	M	minus	Match
463	2	227029759	trf472538_trf472539_trf472540_trf472541	P	plus	Match
464	2	227029894	trf472538_trf472539_trf472540_trf472541	P	plus	Match
465	2	232206243	trf474197	M	minus	Match
466	2	232206245	trf474197	M	minus	Match
467	2	232206503	trf474197	P	plus	Match
468	2	236019479	trf475710	M	minus	Match
469	2	236019769	trf475710	P	plus	Match
470	2	238078362	trf476474	M	minus	Match
471	2	238078626	trf476474	P	plus	Match
472	2	242348253	trf478502	M	minus	Match
473	2	242348296	trf478502	M	minus	Match
474	2	242348510	trf478502	P	plus	Match
475	2	242348553	trf478502	P	plus	Match
476	2	242866475	trf478821	M	minus	Match
477	2	242866739	trf478821	P	plus	Match
478	3	2700524	trf530593	M	minus	Match
479	3	2700785	trf530593	P	plus	Match
480	3	3296479	trf530722_trf530723_trf530724	M	minus	Match
481	3	3296737	trf530722_trf530723_trf530724	P	plus	Match
482	3	4048996	trf530887	M	minus	Match
483	3	4049105	trf530887	M	minus	Match
484	3	4049254	trf530887	P	plus	Match
485	3	4049366	trf530887	P	plus	Match
486	3	4312955	trf530947	M	minus	Match
487	3	4313073	trf530947	M	minus	Match
488	3	4313211	trf530947	P	plus	Match
489	3	4313461	trf530947	P	plus	Match
490	3	8584929	trf532134	M	minus	Match
491	3	8585016	trf532134	M	minus	Match
492	3	8585190	trf532134	P	plus	Match
493	3	8585286	trf532134	P	plus	Match
494	3	10363328	trf532746	M	minus	Match
495	3	10363545	trf532746	P	plus	Match
496	3	12008918	trf533283	M	minus	Match
497	3	12008978	trf533283	M	minus	Match
498	3	12009179	trf533283	P	plus	Match
499	3	12009236	trf533283	P	plus	Match
500	3	21949441	trf536073	M	minus	Match
501	3	21949526	trf536073	M	minus	Match
502	3	21949701	trf536073	P	plus	Match
503	3	21949791	trf536073	P	plus	Match
504	3	32165202	trf538591	M	minus	Match
505	3	32165457	trf538591	P	plus	Match
506	3	32522689	nc-CMTM6	M	minus	Match
507	3	32522937	nc-CMTM6	P	plus	Match
508	3	34624310	trf539400	M	minus	Match
509	3	34624347	trf539400	M	minus	Match
510	3	34624568	trf539400	P	plus	Match
511	3	34624606	trf539400	P	plus	Match
512	3	37058980	MLH1	M	minus	Match
513	3	37059239	MLH1	P	plus	Match
523	3	41277985	CTNNB1	M	minus	Match
526	3	41278247	CTNNB1	P	plus	Match
528	3	45582197	D3S1358	M	minus	Match
529	3	45582541	D3S1358	P	plus	Match
530	3	52310910	trf544686	M	minus	Match
531	3	52311175	trf544686	P	plus	Match
532	3	52728189	nc-GNL3	M	minus	Match
533	3	52728528	nc-GNL3	P	plus	Match
534	3	56137648	trf545688	M	minus	Match
535	3	56137905	trf545688	P	plus	Match
536	3	58981609	trf546674	M	minus	Match
537	3	58981867	trf546674	P	plus	Match
538	3	62507593	trf547591	M	minus	Match
539	3	62507625	trf547591	M	minus	Match
540	3	62507846	trf547591	P	plus	Match
541	3	62507891	trf547591	P	plus	Match
542	3	64756279	trf548118	M	minus	Match
543	3	64756535	trf548118	P	plus	Match
544	3	68018644	trf548951	M	minus	Match
545	3	68018895	trf548951	P	plus	Match
546	3	77516605	trf551536	M	minus	Match
547	3	77516611	trf551536	M	minus	Match
548	3	77516866	trf551536	P	plus	Match
549	3	77516871	trf551536	P	plus	Match
550	3	85750945	D3S4529	M	minus	Match
551	3	85751212	D3S4529	P	plus	Match
552	3	85852526	trf554203	M	minus	Match
553	3	85852786	trf554203	P	plus	Match
554	3	97745336	trf556702	M	minus	Match
555	3	97745597	trf556702	P	plus	Match
556	3	101283861	RG9MTD1	M	minus	Match
557	3	101284119	RG9MTD1	P	plus	Match
558	3	102175190	trf557841	M	minus	Match
559	3	102175240	trf557841	M	minus	Match
560	3	102175450	trf557841	P	plus	Match
561	3	102175500	trf557841	P	plus	Match
562	3	106989897	trf559225	M	minus	Match
563	3	106990157	trf559225	P	plus	Match
564	3	111074022	trf560189	M	minus	Match
565	3	111074285	trf560189	P	plus	Match
566	3	114057827	ZBTB20	M	minus	Match
567	3	114058085	ZBTB20	P	plus	Match
568	3	117402304	trf561876	M	minus	Match
569	3	117402350	trf561876	M	minus	Match
570	3	117402568	trf561876	P	plus	Match
571	3	117402610	trf561876	P	plus	Match
572	3	120891936	trf562713	M	minus	Match
573	3	120892289	trf562713	P	plus	Match
574	3	129155439	MBD4	M	minus	Match
575	3	129155712	MBD4	P	plus	Match
576	3	130732883	ASTE1	M	minus	Match
577	3	130733149	ASTE1	P	plus	Match
578	3	138382579	PIK3CB_1	M	minus	Match
579	3	138382839	PIK3CB_1	P	plus	Match
580	3	138413558	PIK3CB_2	M	minus	Match
581	3	138413822	PIK3CB_2	P	plus	Match
582	3	139188396	trf568313	M	minus	Match
583	3	139188656	trf568313	P	plus	Match
584	3	140025625	trf568499	M	minus	Match
585	3	140025901	trf568499	P	plus	Match
586	3	142274561	ATR	M	minus	Match
587	3	142274824	ATR	P	plus	Match
588	3	150162939	trf571372	M	minus	Match
589	3	150163188	trf571372	P	plus	Match
590	3	160219020	nc-KPNA4	M	minus	Match
591	3	160219270	nc-KPNA4	P	plus	Match
592	3	164057081	trf575295	M	minus	Match
593	3	164057491	trf575295	P	plus	Match
594	3	167239671	trf576235	M	minus	Match
595	3	167239683	trf576235	M	minus	Match
596	3	167239929	trf576235	P	plus	Match
597	3	167239945	trf576235	P	plus	Match
598	3	171750887	trf577455_D3S3053	M	minus	Match
599	3	171751147	trf577455_D3S3053	P	plus	Match
600	3	175784741	trf578668_trf578667_trf578669	M	minus	Match
601	3	175784758	trf578668_trf578667_trf578669	M	minus	Match
602	3	175784781	trf578668_trf578667_trf578669	M	minus	Match
603	3	175784989	trf578668_trf578667_trf578669	P	plus	Match
604	3	175785015	trf578668_trf578667_trf578669	P	plus	Match
605	3	175785039	trf578668_trf578667_trf578669	P	plus	Match
621	3	178919019	PIK3CA	M	minus	Match
623	3	178919279	PIK3CA	P	plus	Match
656	3	179343813	nc-NDUFB5	M	minus	Match
657	3	179344069	nc-NDUFB5	P	plus	Match
658	3	183665146	ABCC5	M	minus	Match
659	3	183665409	ABCC5	P	plus	Match
660	3	186711171	trf582328	M	minus	Match
661	3	186711431	trf582328	P	plus	Match
662	3	188320727	trf582859	M	minus	Match
663	3	188320987	trf582859	P	plus	Match
664	3	189420981	trf583174	M	minus	Match
665	3	189421335	trf583174	P	plus	Match
666	3	190543422	trf583509_trf583510_trf583511_trf583512	M	minus	Match
667	3	190543458	trf583509_trf583510_trf583511_trf583512	M	minus	Match
668	3	190543683	trf583509_trf583510_trf583511_trf583512	P	plus	Match
669	3	190543730	trf583509_trf583510_trf583511_trf583512	P	plus	Match
670	3	194614336	trf584718	M	minus	Match
671	3	194614595	trf584718	P	plus	Match
672	3	197018050	trf585879	M	minus	Match
673	3	197018300	trf585879	P	plus	Match
674	4	115829	trf586339	M	minus	Match
675	4	116118	trf586339	P	plus	Match
676	4	1806016	FGFR3	M	minus	Match
677	4	1806257	FGFR3	P	plus	Match
678	4	2752040	trf587894	M	minus	Match
679	4	2752293	trf587894	P	plus	Match
680	4	5526927	C4orf6	M	minus	Match
681	4	5527186	C4orf6	P	plus	Match
682	4	6484603	trf589512	M	minus	Match
683	4	6484763	trf589512	M	minus	Match
684	4	6484889	trf589512	P	plus	Match
685	4	6485010	trf589512	P	plus	Match
686	4	13750836	trf592265	M	minus	Match
687	4	13751096	trf592265	P	plus	Match
688	4	21113472	trf594420	M	minus	Match
689	4	21113538	trf594420	M	minus	Match
690	4	21113732	trf594420	P	plus	Match
691	4	21113798	trf594420	P	plus	Match
692	4	27257764	trf596367	M	minus	Match
693	4	27258022	trf596367	P	plus	Match
694	4	31304314	D4S2408	M	minus	Match
695	4	31304590	D4S2408	P	plus	Match
696	4	35704071	trf598934	M	minus	Match
697	4	35704331	trf598934	P	plus	Match
698	4	41034367	nc-APBB2	M	minus	Match
699	4	41034627	nc-APBB2	P	plus	Match
700	4	44178748	trf601715	M	minus	Match
701	4	44179004	trf601715	P	plus	Match
702	4	46927625	trf602513	M	minus	Match
703	4	46927894	trf602513	P	plus	Match
704	4	55161162	PDGFRA	M	minus	Match
705	4	55161422	PDGFRA	P	plus	Match
706	4	55598065	trf604336_BAT25	M	minus	Match
707	4	55598325	trf604336_BAT25	P	plus	Match
708	4	55953746	KDR	M	minus	Match
709	4	55954006	KDR	P	plus	Match
710	4	56336834	CLOCK	M	minus	Match
711	4	56337099	CLOCK	P	plus	Match
712	4	60021415	trf605629	M	minus	Match
713	4	60021514	trf605629	M	minus	Match
714	4	60021662	trf605629	P	plus	Match
715	4	60021777	trf605629	P	plus	Match
716	4	68282788	trf608052	M	minus	Match
717	4	68283047	trf608052	P	plus	Match
718	4	80932327	trf611273	M	minus	Match
719	4	80932589	trf611273	P	plus	Match
720	4	93517298	D4S2364	M	minus	Match
721	4	93517546	D4S2364	P	plus	Match
722	4	99434868	trf616311	M	minus	Match
723	4	99435129	trf616311	P	plus	Match
724	4	110880356	EGF_1	M	minus	Match
725	4	110880615	EGF_1	P	plus	Match
726	4	110882916	EGF_2	M	minus	Match
727	4	110883183	EGF_2	P	plus	Match
728	4	110889694	trf619356	M	minus	Match
729	4	110889959	trf619356	P	plus	Match
730	4	110889989	EGF_3	M	minus	Match
731	4	110890249	EGF_3	P	plus	Match
732	4	113570580	LARP7	M	minus	Match
733	4	113570847	LARP7	P	plus	Match
734	4	123917558	trf622887_trf622888	M	minus	Match
735	4	123917668	trf622887_trf622888	M	minus	Match
736	4	123917821	trf622887_trf622888	P	plus	Match
737	4	123917929	trf622887_trf622888	P	plus	Match
738	4	130297795	trf624632	M	minus	Match
739	4	130298055	trf624632	P	plus	Match
740	4	141751431	trf627745	M	minus	Match
741	4	141751693	trf627745	P	plus	Match
742	4	143500910	trf628201	M	minus	Match
743	4	143501170	trf628201	P	plus	Match
774	4	153253588	FBXW7	M	minus	Match
776	4	153253850	FBXW7	P	plus	Match
809	4	155508817	FGA	M	minus	Match
810	4	155509076	FGA	P	plus	Match
811	4	158336657	trf632245	M	minus	Match
812	4	158336783	trf632245	M	minus	Match
813	4	158336916	trf632245	P	plus	Match
814	4	158337064	trf632245	P	plus	Match
815	4	167282899	trf634971	M	minus	Match
816	4	167283026	trf634971	M	minus	Match
817	4	167283158	trf634971	P	plus	Match
818	4	167283270	trf634971	P	plus	Match
819	4	168716177	trf635407	M	minus	Match
820	4	168716255	trf635407	M	minus	Match
821	4	168716435	trf635407	P	plus	Match
822	4	168716514	trf635407	P	plus	Match
823	4	173969458	trf636947_trf636948	M	minus	Match
824	4	173969716	trf636947_trf636948	P	plus	Match
825	4	180168501	trf638758	M	minus	Match
826	4	180168764	trf638758	P	plus	Match
827	4	185151052	trf640352	M	minus	Match
828	4	185151312	trf640352	P	plus	Match
829	4	188387816	trf641479	M	minus	Match
830	4	188387910	trf641479	M	minus	Match
831	4	188388076	trf641479	P	plus	Match
832	4	188388170	trf641479	P	plus	Match
833	4	190084192	trf642132	M	minus	Match
834	4	190084310	trf642132	M	minus	Match
835	4	190084439	trf642132	P	plus	Match
836	4	190084570	trf642132	P	plus	Match
837	5	127239	trf642642	M	minus	Match
838	5	127539	trf642642	P	plus	Match
839	5	1294526	TERT	M	minus	Match
840	5	1294815	TERT	P	plus	Match
841	5	3424476	trf645163_trf645164	M	minus	Match
842	5	3424637	trf645163_trf645164	M	minus	Match
843	5	3424769	trf645163_trf645164	P	plus	Match
844	5	3424882	trf645163_trf645164	P	plus	Match
845	5	3712574	trf645310	M	minus	Match
846	5	3712670	trf645310	M	minus	Match
847	5	3712843	trf645310	P	plus	Match
848	5	3712929	trf645310	P	plus	Match
849	5	4657392	trf645661	M	minus	Match
850	5	4657787	trf645661	P	plus	Match
851	5	5817094	trf646037_trf646038_trf646039	M	minus	Match
852	5	5817340	trf646037_trf646038_trf646039	P	plus	Match
853	5	5817420	trf646037_trf646038_trf646039	P	plus	Match
854	5	8546276	trf646923	M	minus	Match
855	5	8546537	trf646923	P	plus	Match
856	5	15555767	trf648963	M	minus	Match
857	5	15556030	trf648963	P	plus	Match
858	5	22390581	trf651176	M	minus	Match
859	5	22390843	trf651176	P	plus	Match
860	5	33827735	trf654807	M	minus	Match
861	5	33827739	trf654807	M	minus	Match
862	5	33827997	trf654807	P	plus	Match
863	5	33827999	trf654807	P	plus	Match
864	5	41033750	trf656902	M	minus	Match
865	5	41034010	trf656902	P	plus	Match
866	5	53299385	trf659647	M	minus	Match
867	5	53299638	trf659647	P	plus	Match
868	5	58697129	trf661146	M	minus	Match
869	5	58697381	trf661146	P	plus	Match
870	5	58698828	trf661147	M	minus	Match
871	5	58699087	trf661147	P	plus	Match
872	5	67522561	PIK3R1	M	minus	Match
873	5	67522819	PIK3R1	P	plus	Match
874	5	71401781	trf664829	M	minus	Match
875	5	71401830	trf664829	M	minus	Match
876	5	71402031	trf664829	P	plus	Match
877	5	71402094	trf664829	P	plus	Match
878	5	78468404	trf666810	M	minus	Match
879	5	78468666	trf666810	P	plus	Match
880	5	79970784	MSH3	M	minus	Match
881	5	79971036	MSH3	P	plus	Match
882	5	82095957	trf667986	M	minus	Match
883	5	82096015	trf667986	M	minus	Match
884	5	82096219	trf667986	P	plus	Match
885	5	82096277	trf667986	P	plus	Match
886	5	83545080	trf668354	M	minus	Match
887	5	83545340	trf668354	P	plus	Match
888	5	89166495	trf669963	M	minus	Match
889	5	89166755	trf669963	P	plus	Match
890	5	104582190	trf673953_trf673954	M	minus	Match
891	5	104582452	trf673953_trf673954	P	plus	Match
892	5	110036336	trf675396	M	minus	Match
893	5	110036391	trf675396	M	minus	Match
894	5	110036598	trf675396	P	plus	Match
895	5	110036641	trf675396	P	plus	Match
896	5	112213555	trf675828_D5S346	M	minus	Match
897	5	112213816	trf675828_D5S346	P	plus	Match
898	5	114218660	trf676281	M	minus	Match
899	5	114218677	trf676281	M	minus	Match
900	5	114218918	trf676281	P	plus	Match
901	5	114218935	trf676281	P	plus	Match
902	5	119101615	trf677616	M	minus	Match
903	5	119101635	trf677616	M	minus	Match
904	5	119101871	trf677616	P	plus	Match
905	5	119101893	trf677616	P	plus	Match
906	5	123111120	D5S818	M	minus	Match
907	5	123111371	D5S818	P	plus	Match
908	5	131931291	RAD50	M	minus	Match
909	5	131931548	RAD50	P	plus	Match
910	5	135301499	trf682055	M	minus	Match
911	5	135301596	trf682055	M	minus	Match
912	5	135301760	trf682055	P	plus	Match
913	5	135301855	trf682055	P	plus	Match
914	5	140305078	trf683567	M	minus	Match
915	5	140305340	trf683567	P	plus	Match
916	5	140812626	nc-PCDHGA12	M	minus	Match
917	5	140812874	nc-PCDHGA12	P	plus	Match
918	5	146977834	trf685471_trf685472	M	minus	Match
919	5	146977943	trf685471_trf685472	M	minus	Match
920	5	146978100	trf685471_trf685472	P	plus	Match
921	5	146978205	trf685471_trf685472	P	plus	Match
922	5	149455785	CSF1PO	M	minus	Match
923	5	149456043	CSF1PO	P	plus	Match
924	5	156122360	trf687884	M	minus	Match
925	5	156122395	trf687884	M	minus	Match
926	5	156122620	trf687884	P	plus	Match
